Source Table,LGA,Year-Quarter,PTB Total Actual and Forecast,PTB Total Actual and Forecast  Lower  95%,PTB Total Actual and Forecast  Upper  95%,EPTB Total Actual and Forecast,EPTB Total Actual and Forecast  Lower  95%,EPTB Total Actual and Forecast  Upper  95%,lab diagnosed Actual and Forecast,lab diagnosed Actual and Forecast  Lower  95%,lab diagnosed Actual and Forecast  Upper  95%,clinically diagnosed Actual and Forecast,clinically diagnosed Actual and Forecast  Lower  95%,clinically diagnosed Actual and Forecast  Upper  95%,Total TB Cases notified Actual and Forecast,Total TB Cases notified Actual and Forecast  Lower  95%,Total TB Cases notified Actual and Forecast  Upper  95%
Original Data,Birnin Gwari,2019Q1,25,,,0,,,25,,,0,,,25,,
Original Data,Birnin Gwari,2019Q2,19,,,0,,,15,,,4,,,19,,
Original Data,Birnin Gwari,2019Q3,14,,,0,,,14,,,0,,,14,,
Original Data,Birnin Gwari,2019Q4,10,,,0,,,10,,,0,,,10,,
Original Data,Chikun,2019Q1,70,,,5,,,61,,,14,,,75,,
Original Data,Chikun,2019Q2,70,,,5,,,61,,,14,,,75,,
Original Data,Chikun,2019Q3,70,,,3,,,54,,,19,,,73,,
Original Data,Chikun,2019Q4,73,,,2,,,60,,,15,,,75,,
Original Data,Giwa,2019Q1,33,,,5,,,11,,,27,,,38,,
Original Data,Giwa,2019Q2,50,,,1,,,13,,,38,,,51,,
Original Data,Giwa,2019Q3,41,,,5,,,5,,,41,,,46,,
Original Data,Giwa,2019Q4,39,,,7,,,12,,,34,,,46,,
Original Data,Igabi,2019Q1,66,,,4,,,46,,,24,,,70,,
Original Data,Igabi,2019Q2,39,,,1,,,32,,,8,,,40,,
Original Data,Igabi,2019Q3,65,,,1,,,55,,,11,,,66,,
Original Data,Igabi,2019Q4,75,,,1,,,63,,,13,,,76,,
Original Data,Ikara,2019Q1,13,,,0,,,12,,,1,,,13,,
Original Data,Ikara,2019Q2,20,,,0,,,17,,,3,,,20,,
Original Data,Ikara,2019Q3,18,,,0,,,17,,,1,,,18,,
Original Data,Ikara,2019Q4,20,,,2,,,20,,,2,,,22,,
Original Data,Jaba,2019Q1,20,,,0,,,15,,,5,,,20,,
Original Data,Jaba,2019Q2,22,,,0,,,10,,,12,,,22,,
Original Data,Jaba,2019Q3,12,,,0,,,7,,,5,,,12,,
Original Data,Jaba,2019Q4,15,,,0,,,14,,,1,,,15,,
Original Data,Jema'A,2019Q1,51,,,0,,,41,,,10,,,51,,
Original Data,Jema'A,2019Q2,37,,,1,,,30,,,8,,,38,,
Original Data,Jema'A,2019Q3,57,,,1,,,41,,,17,,,58,,
Original Data,Jema'A,2019Q4,43,,,0,,,39,,,4,,,43,,
Original Data,Kachia,2019Q1,43,,,0,,,43,,,0,,,43,,
Original Data,Kachia,2019Q2,44,,,0,,,43,,,1,,,44,,
Original Data,Kachia,2019Q3,82,,,0,,,82,,,0,,,82,,
Original Data,Kachia,2019Q4,79,,,0,,,78,,,1,,,79,,
Original Data,Kaduna North,2019Q1,144,,,9,,,88,,,65,,,153,,
Original Data,Kaduna North,2019Q2,152,,,27,,,102,,,77,,,179,,
Original Data,Kaduna North,2019Q3,157,,,24,,,107,,,74,,,181,,
Original Data,Kaduna North,2019Q4,165,,,11,,,126,,,50,,,176,,
Original Data,Kaduna South,2019Q1,152,,,6,,,104,,,54,,,158,,
Original Data,Kaduna South,2019Q2,189,,,10,,,130,,,69,,,199,,
Original Data,Kaduna South,2019Q3,181,,,7,,,124,,,64,,,188,,
Original Data,Kaduna South,2019Q4,175,,,9,,,111,,,73,,,184,,
Original Data,Kagarko,2019Q1,18,,,0,,,17,,,1,,,18,,
Original Data,Kagarko,2019Q2,23,,,0,,,23,,,0,,,23,,
Original Data,Kagarko,2019Q3,9,,,2,,,9,,,2,,,11,,
Original Data,Kagarko,2019Q4,16,,,0,,,16,,,0,,,16,,
Original Data,Kajuru,2019Q1,10,,,0,,,8,,,2,,,10,,
Original Data,Kajuru,2019Q2,10,,,0,,,8,,,2,,,10,,
Original Data,Kajuru,2019Q3,20,,,0,,,20,,,0,,,20,,
Original Data,Kajuru,2019Q4,21,,,0,,,21,,,0,,,21,,
Original Data,Kaura,2019Q1,31,,,0,,,24,,,7,,,31,,
Original Data,Kaura,2019Q2,14,,,0,,,9,,,5,,,14,,
Original Data,Kaura,2019Q3,18,,,0,,,14,,,4,,,18,,
Original Data,Kaura,2019Q4,21,,,1,,,16,,,6,,,22,,
Original Data,Kauru,2019Q1,12,,,0,,,9,,,3,,,12,,
Original Data,Kauru,2019Q2,13,,,0,,,9,,,4,,,13,,
Original Data,Kauru,2019Q3,22,,,0,,,22,,,0,,,22,,
Original Data,Kauru,2019Q4,18,,,1,,,18,,,1,,,19,,
Original Data,Kubau,2019Q1,15,,,0,,,13,,,2,,,15,,
Original Data,Kubau,2019Q2,19,,,0,,,18,,,1,,,19,,
Original Data,Kubau,2019Q3,17,,,0,,,16,,,1,,,17,,
Original Data,Kubau,2019Q4,20,,,0,,,20,,,0,,,20,,
