serial_number,name_of_facility,type_of_facility_select_one_of_phc_secondary_tertiary_pfp_fbo,presumptive_classification_presumptive_ds_tb,presumptive_classification_presumptive_dr_tb,presumptive_examined_for_diagnosis,presumptive_examinations_xpert,presumptive_examinations_afb,presumptive_examinations_tb_lamp_lf_lam_and_others,presumptive_examinations_screened_with_x_ray,presumptive_bacteriologically_positive_xpert_positive,presumptive_bacteriologically_positive_smear_positive,presumptive_bacteriologically_positive_tb_lamp_lf_lam_positive,presumptive_chest_x_ray_suggestive,presumptive_total_diagnosed,presumptive_rifampicin_resistant_cases,presumptive_previously_known_hiv_status_positive,presumptive_previously_known_hiv_status_negative,presumptive_hiv_status_positive,presumptive_hiv_status_negative,presumptive_hiv_status_unknown,presumptive_no_of_presumptive_that_are_hc_ws,presumptive_referred_from_the_community,presumptive_referred_from_ppm,confirmed_pulmonary_tb_cases_new,confirmed_pulmonary_tb_cases_relapse,confirmed_pulmonary_tb_cases_tx_history_unknown,confirmed_pulmonary_tb_cases_all_other_retreatment_tb_cases,confirmed_eptb_cases_new,confirmed_eptb_cases_relapse,confirmed_eptb_cases_tx_history_unknown,confirmed_eptb_cases_all_other_retreatment_tb_cases,total_tb_cases,previously_known_hiv_status_positive,previously_known_hiv_status_negative,previously_unknown_hiv_status_tested_for_hiv_positive,previously_unknown_hiv_status_tested_for_hiv_negative,previously_unknown_hiv_status_not_tested,bacteriologically_diagnosed_xpert_positive,bacteriologically_diagnosed_smear_positive,bacteriologically_diagnosed_tb_lamp_positive,bacteriologically_diagnosed_lf_lam_positive,clinically_diagnosed_x_ray_other_clinical_diagnosis,no_of_health_care_workers_diagnosed_with_tb,community_activity_referred_from_the_community,community_activity_managed_by_treatment_supporter,quarter,lga,year,presumptive_bacteriologically_positive_truenat_positive,presumptive_examinations_truenat,bacteriologically_diagnosed_truenat_positive,presumptive_no_of_presumptive_that_are_positive_for_covid_19,presumptive_no_of_presumptive_that_are_tested_for_covid_19,presumptive_other_clinical_diagnosis,no_of_tb_patients_with_covid_19_infection,facility,zones,states,lgas,lat,lon
1,AL-UMMAH NURSING HOME,PFP,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birin gwari,2021,0,0,0,0,0,0,0,Alummahnursinghome,,,,10.66508,6.64095
2,AL-UMMAH NURSING HOME,PFP,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Birin gwari,2021,0,0,0,0,0,0,0,Alummahnursinghome,,,,10.66508,6.64095
3,AL-UMMAH NURSING HOME,PFP,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Birin gwari,2021,0,0,0,0,0,0,0,Alummahnursinghome,,,,10.66508,6.64095
4,AL-UMMAH NURSING HOME,PFP,238,0,238,119,0,0,0,10,0,0,15,25,0,0,0,0,25,213,0,120,0,25,0,0,0,0,0,0,0,25,0,0,0,25,0,10,0,0,0,15,0,7,18,4,Birin gwari,2021,0,0,0,0,0,0,0,Alummahnursinghome,,,,10.66508,6.64095
5,AL-UMMAH NURSING HOME,PFP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birin gwari,2022,0,0,0,0,0,0,0,Alummahnursinghome,,,,10.66508,6.64095
6,AL-UMMAH NURSING HOME,PFP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Birin gwari,2022,0,0,0,0,0,0,0,Alummahnursinghome,,,,10.66508,6.64095
7,AL-UMMAH NURSING HOME,PFP,20,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Birin gwari,2022,0,0,0,0,0,0,0,Alummahnursinghome,,,,10.66508,6.64095
8,AL-UMMAH NURSING HOME,PFP,40,0,40,0,15,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Birin gwari,2022,0,0,0,0,0,0,0,Alummahnursinghome,,,,10.66508,6.64095
9,AL-UMMAH NURSING HOME,PFP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birin gwari,2023,0,0,0,0,0,0,0,Alummahnursinghome,,,,10.66508,6.64095
10,AL-UMMAH NURSING HOME,PFP,20,0,20,20,0,0,0,1,0,0,0,1,0,0,0,0,0,20,0,1,20,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,2,Birin gwari,2023,0,0,0,0,0,0,0,Alummahnursinghome,,,,10.66508,6.64095
