,Year,Quarter,LGA,Total TB Cases,Date,PTB Cases,EPTB Cases,Cluster,Distance,Year_Quarter
0,2019,1,Birnin gwari,25.0,2019-01-01,25,0,1,0.0668947697,2019 Q1
1,2019,2,Birnin gwari,19.0,2019-04-01,19,0,1,0.0971839797,2019 Q2
2,2019,3,Birnin gwari,14.0,2019-07-01,14,0,1,0.1272961525,2019 Q3
3,2019,4,Birnin gwari,10.0,2019-10-01,10,0,1,0.1545742895,2019 Q4
4,2019,1,Chikun,75.0,2019-01-01,70,5,1,0.9778476518,2019 Q1
5,2019,2,Chikun,75.0,2019-04-01,70,5,1,0.9778476518,2019 Q2
6,2019,3,Chikun,73.0,2019-07-01,70,3,1,0.3323422195,2019 Q3
7,2019,4,Chikun,75.0,2019-10-01,73,2,1,0.1570555377,2019 Q4
8,2019,1,Giwa,38.0,2019-01-01,33,5,1,0.955073575,2019 Q1
9,2019,2,Giwa,51.0,2019-04-01,50,1,1,0.0135074865,2019 Q2
10,2019,3,Giwa,46.0,2019-07-01,41,5,1,0.9394502419,2019 Q3
11,2019,4,Giwa,46.0,2019-10-01,39,7,1,1.9444450456,2019 Q4
12,2019,1,Igabi,70.0,2019-01-01,66,4,1,0.5960325715,2019 Q1
13,2019,2,Igabi,40.0,2019-04-01,39,1,1,0.0242329941,2019 Q2
14,2019,3,Igabi,66.0,2019-07-01,65,1,1,0.0334227795,2019 Q3
15,2019,4,Igabi,76.0,2019-10-01,75,1,1,0.0688412986,2019 Q4
16,2019,1,Ikara,13.0,2019-01-01,13,0,1,0.1338499869,2019 Q1
17,2019,2,Ikara,20.0,2019-04-01,20,0,1,0.0916929449,2019 Q2
18,2019,3,Ikara,18.0,2019-07-01,18,0,1,0.1028521477,2019 Q3
19,2019,4,Ikara,22.0,2019-10-01,20,2,1,0.1853110247,2019 Q4
20,2019,1,Jaba,20.0,2019-01-01,20,0,1,0.0916929449,2019 Q1
21,2019,2,Jaba,22.0,2019-04-01,22,0,1,0.081242275,2019 Q2
22,2019,3,Jaba,12.0,2019-07-01,12,0,1,0.1405809545,2019 Q3
23,2019,4,Jaba,15.0,2019-10-01,15,0,1,0.1209194515,2019 Q4
24,2019,1,Jema'a,51.0,2019-01-01,51,0,1,0.0093289615,2019 Q1
25,2019,2,Jema'a,38.0,2019-04-01,37,1,1,0.0284858187,2019 Q2
26,2019,3,Jema'a,58.0,2019-07-01,57,1,1,0.0178415587,2019 Q3
27,2019,4,Jema'a,43.0,2019-10-01,43,0,1,0.0142879234,2019 Q4
28,2019,1,Kachia,43.0,2019-01-01,43,0,1,0.0142879234,2019 Q1
29,2019,2,Kachia,44.0,2019-04-01,44,0,1,0.0130480867,2019 Q2
30,2019,3,Kachia,82.0,2019-07-01,82,0,1,0.0971900382,2019 Q3
31,2019,4,Kachia,79.0,2019-10-01,79,0,1,0.0812477565,2019 Q4
32,2019,1,Kaduna north,153.0,2019-01-01,144,9,4,1.5110132334,2019 Q1
33,2019,2,Kaduna north,179.0,2019-04-01,152,27,4,7.6039487103,2019 Q2
34,2019,3,Kaduna north,181.0,2019-07-01,157,24,4,4.5029114151,2019 Q3
35,2019,4,Kaduna north,176.0,2019-10-01,165,11,4,0.5718881917,2019 Q4
36,2019,1,Kaduna south,158.0,2019-01-01,152,6,1,2.3582741078,2019 Q1
37,2019,2,Kaduna south,199.0,2019-04-01,189,10,4,0.8004362299,2019 Q2
38,2019,3,Kaduna south,188.0,2019-07-01,181,7,4,2.3684085389,2019 Q3
39,2019,4,Kaduna south,184.0,2019-10-01,175,9,4,1.2747351937,2019 Q4
40,2019,1,Kagarko,18.0,2019-01-01,18,0,1,0.1028521477,2019 Q1
41,2019,2,Kagarko,23.0,2019-04-01,23,0,1,0.07628264,2019 Q2
42,2019,3,Kagarko,11.0,2019-07-01,9,2,1,0.2535262776,2019 Q3
43,2019,4,Kagarko,16.0,2019-10-01,16,0,1,0.1147198836,2019 Q4
44,2019,1,Kajuru,10.0,2019-01-01,10,0,1,0.1545742895,2019 Q1
45,2019,2,Kajuru,10.0,2019-04-01,10,0,1,0.1545742895,2019 Q2
46,2019,3,Kajuru,20.0,2019-07-01,20,0,1,0.0916929449,2019 Q3
47,2019,4,Kajuru,21.0,2019-10-01,21,0,1,0.0863790433,2019 Q4
48,2019,1,Kaura,31.0,2019-01-01,31,0,1,0.042982357,2019 Q1
49,2019,2,Kaura,14.0,2019-04-01,14,0,1,0.1272961525,2019 Q2
50,2019,3,Kaura,18.0,2019-07-01,18,0,1,0.1028521477,2019 Q3
51,2019,4,Kaura,22.0,2019-10-01,21,1,1,0.0880156047,2019 Q4
52,2019,1,Kauru,12.0,2019-01-01,12,0,1,0.1405809545,2019 Q1
53,2019,2,Kauru,13.0,2019-04-01,13,0,1,0.1338499869,2019 Q2
54,2019,3,Kauru,22.0,2019-07-01,22,0,1,0.081242275,2019 Q3
55,2019,4,Kauru,19.0,2019-10-01,18,1,1,0.1042257374,2019 Q4
56,2019,1,Kubau,15.0,2019-01-01,15,0,1,0.1209194515,2019 Q1
57,2019,2,Kubau,19.0,2019-04-01,19,0,1,0.0971839797,2019 Q2
58,2019,3,Kubau,17.0,2019-07-01,17,0,1,0.108697449,2019 Q3
59,2019,4,Kubau,20.0,2019-10-01,20,0,1,0.0916929449,2019 Q4
60,2019,1,Kudan,13.0,2019-01-01,13,0,1,0.1338499869,2019 Q1
61,2019,2,Kudan,11.0,2019-04-01,11,0,1,0.1474890554,2019 Q2
62,2019,3,Kudan,12.0,2019-07-01,12,0,1,0.1405809545,2019 Q3
63,2019,4,Kudan,23.0,2019-10-01,23,0,1,0.07628264,2019 Q4
64,2019,1,Lere,30.0,2019-01-01,29,1,1,0.0525824475,2019 Q1
65,2019,2,Lere,25.0,2019-04-01,24,1,1,0.0733996713,2019 Q2
66,2019,3,Lere,24.0,2019-07-01,23,1,1,0.0780945159,2019 Q3
67,2019,4,Lere,27.0,2019-10-01,26,1,1,0.064541382,2019 Q4
68,2019,1,Makarfi,24.0,2019-01-01,23,1,1,0.0780945159,2019 Q1
69,2019,2,Makarfi,30.0,2019-04-01,29,1,1,0.0525824475,2019 Q2
70,2019,3,Makarfi,34.0,2019-07-01,34,0,1,0.0334174496,2019 Q3
