,Year,Quarter,LGA,Total number of presumptives,Presumptive DS-TB,Presumptive DR-TB,Examined for diagnosis,Total examined with Xpert,Total examined with AFB,Total examined with TB LAMP/LF-LAM,Screened with X-ray,MTB detected,Smear positive,TB LAMP/LF LAM,Chest X-ray suggestive,Total diagnosed,Rifampicin resistant,HIV positive,HIV negative,HIV unknown,Presumptives that are HCWs,Referred from the community,Referred from the PPM
0,2021,1,BIRIN GWARI,742,742,0,742,653,31,0,0,20,0,0,9,29,0,0,0,742,0,130,13
1,2021,2,BIRIN GWARI,1450,1440,10,1450,846,0,0,601,48,0,0,27,75,0,0,440,1010,0,616,23
2,2021,3,BIRIN GWARI,700,700,0,700,617,38,0,50,49,0,0,1,50,0,0,0,700,0,339,10
3,2021,4,BIRIN GWARI,1341,1341,0,1341,1052,0,0,0,84,0,0,21,105,0,1,104,1236,0,589,0
4,2021,1,CHIKUN,593,581,12,563,424,131,0,14,50,35,0,14,99,0,27,60,506,0,113,320
5,2021,2,CHIKUN,968,968,0,956,857,84,0,0,88,29,0,6,123,0,7,961,0,1,667,602
6,2021,3,CHIKUN,856,855,1,727,636,126,0,22,109,34,0,4,147,0,2,418,436,8,473,0
7,2021,4,CHIKUN,3576,3576,0,3576,2901,168,0,24,278,35,0,26,339,0,13,3563,0,0,606,37
8,2021,1,GIWA,843,843,0,843,778,14,0,7,20,14,0,37,71,0,0,843,0,0,160,0
9,2021,2,GIWA,1483,1483,0,1483,37,71,0,34,18,84,0,34,136,0,6,1477,0,0,0,0
10,2021,3,GIWA,2056,2056,0,2056,367,0,0,19,174,46,0,19,239,0,7,2049,0,0,1826,0
11,2021,4,GIWA,5328,5328,0,5328,5316,19,0,31,467,18,0,27,512,0,16,5312,0,0,4701,0
12,2021,1,IGABI,1233,1233,0,1233,1202,5,0,11,84,5,0,11,100,0,2,1231,0,0,54,540
13,2021,2,IGABI,1222,1220,2,1222,973,7,0,12,70,7,0,12,89,0,7,1215,0,0,34,741
14,2021,3,IGABI,1339,1324,15,1339,995,0,0,27,82,0,0,28,110,0,3,1220,116,0,28,669
15,2021,4,IGABI,1896,1896,0,1896,1748,0,0,115,162,0,0,29,191,0,2,1894,0,0,844,61
16,2021,1,IKARA,206,203,3,206,173,23,2,5,14,0,0,5,19,1,9,136,61,0,47,5
17,2021,2,IKARA,485,480,5,485,222,259,0,6,18,2,0,6,26,2,0,41,444,0,94,58
18,2021,3,IKARA,567,561,6,567,430,113,0,13,22,1,0,6,29,0,1,27,539,0,91,110
19,2021,4,IKARA,873,873,0,873,631,208,0,34,19,3,0,14,36,0,16,160,697,0,177,3
20,2021,1,JABA,148,143,5,148,95,32,0,22,2,3,0,18,23,0,5,143,0,0,0,0
21,2021,2,JABA,238,238,0,238,119,50,0,40,9,0,0,15,24,0,0,0,238,0,13,58
22,2021,3,JABA,213,203,10,213,199,4,0,10,17,2,0,6,25,0,2,22,189,0,15,65
23,2021,4,JABA,297,277,20,297,252,35,0,10,10,4,0,4,18,0,0,141,156,0,32,3
24,2021,1,JEMAA,1407,1361,46,1407,927,275,0,21,15,26,0,17,58,1,0,0,1407,0,185,545
25,2021,2,JEMAA,1418,1367,51,1418,966,331,0,36,28,46,0,23,97,1,4,345,1069,0,481,384
26,2021,3,JEMAA,2211,2084,127,2011,1487,424,0,29,49,37,0,29,115,3,27,1984,200,0,1398,3
27,2021,4,JEMAA,1718,1625,93,1718,1100,504,0,71,67,44,0,20,131,4,0,29,1689,0,790,31
28,2021,1,KACHIA,2150,2140,10,2150,1096,1028,0,4,128,40,0,8,176,0,10,2140,0,0,689,598
29,2021,2,KACHIA,3079,3077,2,3079,1623,1405,0,36,181,57,0,17,255,0,6,3073,0,0,1462,602
30,2021,3,KACHIA,2294,2294,0,2294,1478,815,0,1,165,47,0,1,213,0,0,2294,0,0,1425,614
31,2021,4,KACHIA,3483,3483,0,3483,3469,0,0,21,276,0,0,8,284,0,8,3475,0,0,1843,687
32,2021,1,KADUNA NORTH,4825,4717,108,4825,4270,555,0,130,288,32,0,40,360,1,77,1317,3431,0,644,2873
33,2021,2,KADUNA NORTH,4123,4053,70,4123,4123,0,0,54,337,5,0,31,373,0,70,1368,2685,0,347,1387
34,2021,3,KADUNA NORTH,3528,3468,60,3528,3351,12,37,74,275,1,4,124,404,1,104,983,2441,0,2167,1006
35,2021,4,KADUNA NORTH,5008,4948,60,5008,4937,12,37,74,351,26,2,109,488,1,100,986,3922,0,2906,0
36,2021,1,KADUNA SOUTH,3135,3135,0,3135,3172,146,0,122,181,4,0,92,277,11,143,358,2634,0,1380,1292
37,2021,2,KADUNA SOUTH,2284,2173,111,2284,2116,0,0,168,146,0,0,103,249,4,101,692,1491,0,1122,637
38,2021,3,KADUNA SOUTH,2349,2349,0,2349,2112,0,25,220,133,0,17,125,275,5,210,760,1379,0,651,754
