,Year,Quarter,LGA,Total number of presumptives,Presumptive DS-TB,Presumptive DR-TB,Examined for diagnosis,Total examined with Xpert,Total examined with 1nat,Total examined with AFB,Total examined with TB LAMP,Total examined with LF-LAM and others,Screened with X-ray,MTB detected,1nat positive,Smear positive,TB LAMP positive,LF LAM positive,Chest X-ray suggestive,Other Clinical Diagnosis,Total diagnosed,Rifampicin resistant,HIV positive,HIV negative,HIV unknown,Presumptives that are HCWs,Referred from the community,Referred from the PPM,Presumptives that are tested for COVID-19,Presumptives that are Positive for COVID-19
0,2022,1,BIRIN GWARI,1284,1284,0,1284,993,0,24,0,0,283,120,0,0,0,0,6,0,126,0,1,1283,0,0,980,0,0,0
1,2022,2,BIRIN GWARI,1140,1120,20,1140,673,0,194,0,0,253,68,0,16,0,0,25,0,109,0,0,358,782,34,1090,0,0,0
2,2022,3,BIRIN GWARI,2232,2232,0,2232,1045,0,793,0,0,394,23,0,34,0,0,0,46,103,0,1,2231,0,0,80,2,0,0
3,2022,4,BIRIN GWARI,1462,1462,0,1462,470,0,745,0,0,247,46,0,68,0,0,32,0,146,0,1,1461,0,0,1204,21,0,0
4,2022,1,CHIKUN,3563,3563,0,3563,2717,152,618,0,27,33,220,0,76,0,0,0,23,319,0,9,3554,0,0,2146,818,7,0
5,2022,2,CHIKUN,2315,2315,0,2315,1652,0,336,0,0,40,187,0,46,0,0,0,10,243,0,308,1409,598,0,2038,51,0,0
6,2022,3,CHIKUN,3413,3413,0,3413,2902,0,212,30,0,269,292,0,35,5,0,14,30,376,0,0,0,3413,0,2354,1058,0,0
7,2022,4,CHIKUN,3988,3988,0,3988,3794,0,87,10,0,97,406,0,18,2,0,3,28,457,1,14,3974,0,0,2392,974,0,0
8,2022,1,GIWA,6169,6168,1,6169,5318,0,0,0,0,10,495,0,0,0,0,28,0,523,4,11,6158,0,0,4299,4,0,0
9,2022,2,GIWA,3259,3259,0,3259,3241,0,0,0,0,27,385,0,0,0,0,31,0,416,0,19,3240,0,0,2997,0,0,0
10,2022,3,GIWA,5067,5066,1,5067,4971,0,56,3,0,37,448,0,77,3,0,41,3,572,0,14,5053,0,0,4369,95,0,0
11,2022,4,GIWA,5780,5780,0,5780,5521,0,237,2,0,20,252,0,299,2,0,24,0,577,2,10,5770,0,0,5055,0,0,0
12,2022,1,IGABI,1584,1582,2,1584,1510,55,0,0,0,20,112,12,0,0,0,24,0,148,0,6,1578,0,0,490,63,0,0
13,2022,2,IGABI,1780,1775,5,1780,1671,71,0,0,0,24,121,7,0,0,0,24,1,153,4,2,1778,0,0,777,76,0,0
14,2022,3,IGABI,2954,2954,0,2954,2702,203,2,0,0,47,214,11,2,0,0,16,0,243,1,0,2954,0,0,1277,94,0,0
15,2022,4,IGABI,2999,2992,7,2999,2257,314,249,0,0,179,137,9,52,0,0,54,0,252,0,0,2999,0,0,1284,115,0,0
16,2022,1,IKARA,823,819,4,823,590,18,200,0,0,10,25,0,1,0,0,13,0,39,1,1,150,672,0,221,0,0,0
17,2022,2,IKARA,774,771,3,776,458,0,284,0,0,9,31,0,0,0,0,9,0,40,0,0,774,0,0,241,4,107,0
18,2022,3,IKARA,1650,1646,4,1650,1272,0,371,0,0,7,31,0,3,0,0,7,0,41,0,1,42,1607,0,270,68,106,0
19,2022,4,IKARA,1098,1097,1,1098,671,0,404,0,0,23,10,0,1,0,0,29,19,59,0,1,1097,0,0,239,0,204,0
20,2022,1,JABA,531,495,36,531,481,0,20,0,0,20,21,0,3,0,0,11,0,35,0,0,531,0,0,12,12,0,0
21,2022,2,JABA,387,387,0,387,324,0,40,0,0,23,8,0,6,0,0,0,6,20,0,0,387,0,0,66,34,0,0
22,2022,3,JABA,762,762,0,762,722,0,30,0,0,10,41,0,4,0,0,3,0,48,0,0,762,0,0,223,78,0,0
