Year,Quarter,LGA,Total number of presumptives,PresumptiveDS-TB,PresumptiveDR-TB,Examined for diagnosis,Total Examined with Xpert,Total Examined with Truenat,Total Examined with AFB,Total Examined with TB LAMP,Total Examined with LF-LAM and others,Screened with X-ray,MTB Detected,Truenat Positive,Smear Positive,TB Lamp Positive,LF LAM Positive,Chest X-ray Suggestive,Other Clinical Dianosis,Total Diagnosed,Rifampicin Resistant,HIV Positive,HIV Negative,HIV Unknown,No. of Presumptives that are HCWs,Referred from the community,Referred from the PPM,No of Presumptive that are tested for COVID-19,No of Presumptive that are Positive for COVID-19
2023,1,Birin gwari,1131,1131,0,1131,0,0,499,0,0,632,0,0,64,0,0,60,0,124,0,2,108,1021,0,1145,15,0,0
2023,2,Birin gwari,1412,1412,0,1412,546,0,321,0,0,545,48,0,21,0,0,71,0,140,0,3,0,1409,0,133,66,0,0
2023,3,Birin gwari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,Birin gwari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,Chikun,3603,3603,0,3577,3374,0,97,20,71,15,292,0,20,3,0,0,28,343,0,9,0,3594,0,3030,156,0,0
2023,2,Chikun,3991,3991,0,3935,3587,0,151,40,28,127,385,0,52,8,0,48,2,495,0,12,0,3979,0,2192,1437,0,0
2023,3,Chikun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,Chikun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,Giwa,4740,4689,51,4690,4300,0,377,1,0,12,273,0,259,1,0,30,0,563,0,10,4730,0,0,4689,2,0,0
2023,2,Giwa,4586,4586,0,4581,4392,0,136,0,0,0,347,0,147,0,0,19,0,513,2,11,4575,0,0,456,162,0,0
2023,3,Giwa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,Giwa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,Igabi,2855,2855,0,2855,2682,2,109,0,0,62,173,2,27,0,0,52,0,254,0,1,2854,0,0,1110,105,0,0
2023,2,Igabi,2880,2868,12,2873,2597,122,4,0,0,132,203,10,8,0,0,42,0,263,1,1,2879,0,0,981,1495,0,0
2023,3,Igabi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,Igabi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
