,Year,Quarter,LGA,PTB Xpert Positive,PTB Smear Positive,PTB TB Lamp,PTB LF-LAM,PTB Clinically Diagnosed (X-ray and others),EPTB Xpert Positive,EPTB Clinically Diagnosed (X-ray and others),Total TB Cases notified,All TB cases who had Xpert test
0,2021,1,BIRIN GWARI,20,0,0,0,9,0,0,29,20
1,2021,2,BIRIN GWARI,48,0,0,0,27,0,0,75,48
2,2021,3,BIRIN GWARI,49,0,0,0,1,0,0,50,49
3,2021,4,BIRIN GWARI,84,0,0,0,21,0,0,105,84
4,2021,1,CHIKUN,41,29,0,0,21,0,4,95,41
5,2021,2,CHIKUN,88,29,0,0,6,0,0,123,88
6,2021,3,CHIKUN,109,32,0,0,5,1,0,147,114
7,2021,4,CHIKUN,278,35,0,0,24,0,2,339,279
8,2021,1,GIWA,20,14,0,0,25,0,12,71,20
9,2021,2,GIWA,32,70,0,0,25,0,9,136,32
10,2021,3,GIWA,165,48,0,0,9,0,11,233,166
11,2021,4,GIWA,466,18,0,0,14,1,13,512,468
12,2021,1,IGABI,84,5,0,0,11,0,0,100,84
13,2021,2,IGABI,68,7,0,0,14,0,0,89,70
14,2021,3,IGABI,83,0,0,0,26,0,0,109,86
15,2021,4,IGABI,162,0,0,0,29,0,0,191,162
16,2021,1,IKARA,14,0,0,0,5,0,0,19,14
17,2021,2,IKARA,19,2,0,0,5,0,0,26,21
18,2021,3,IKARA,22,1,0,0,6,0,0,29,22
19,2021,4,IKARA,19,3,0,0,14,0,0,36,19
20,2021,1,JABA,2,3,0,0,18,0,0,23,2
21,2021,2,JABA,9,0,0,0,15,0,0,24,9
22,2021,3,JABA,17,2,0,0,6,0,0,25,17
23,2021,4,JABA,10,4,0,0,4,0,0,18,10
24,2021,1,JEMAA,17,25,0,0,19,0,0,61,17
25,2021,2,JEMAA,21,45,0,0,24,0,0,90,24
26,2021,3,JEMAA,52,37,0,0,29,0,1,119,52
27,2021,4,JEMAA,71,41,0,0,20,0,0,132,76
28,2021,1,KACHIA,128,40,0,0,8,0,0,176,128
29,2021,2,KACHIA,185,57,0,0,17,0,0,259,186
30,2021,3,KACHIA,166,46,0,0,1,0,0,213,166
31,2021,4,KACHIA,277,0,0,0,7,0,0,284,277
32,2021,1,KADUNA NORTH,287,32,0,0,37,0,3,359,388
33,2021,2,KADUNA NORTH,339,5,0,0,26,0,3,373,339
34,2021,3,KADUNA NORTH,275,1,4,0,122,0,2,404,275
35,2021,4,KADUNA NORTH,351,26,2,0,108,0,1,488,483
36,2021,1,KADUNA SOUTH,176,5,0,0,97,0,14,292,176
37,2021,2,KADUNA SOUTH,145,0,0,0,94,0,10,249,156
38,2021,3,KADUNA SOUTH,131,0,17,0,102,0,3,253,131
39,2021,4,KADUNA SOUTH,165,10,1,0,102,0,7,285,165
40,2021,1,KAGARKO,20,0,0,0,0,0,0,20,20
41,2021,2,KAGARKO,18,0,0,0,0,0,0,18,18
42,2021,3,KAGARKO,32,0,0,0,0,0,0,32,32
43,2021,4,KAGARKO,20,0,0,0,0,0,0,20,20
44,2021,1,KAJURU,29,0,0,0,5,0,0,34,29
45,2021,2,KAJURU,76,8,0,0,6,0,0,90,76
46,2021,3,KAJURU,93,9,0,0,3,0,0,105,93
47,2021,4,KAJURU,124,11,0,0,1,0,0,136,124
48,2021,1,KAURA,22,12,0,0,6,0,0,40,22
49,2021,2,KAURA,10,12,0,0,2,0,0,24,11
50,2021,3,KAURA,10,2,0,0,0,0,0,12,10
51,2021,4,KAURA,16,4,0,0,5,0,0,25,16
52,2021,1,KAURU,3,109,0,0,1,0,0,113,3
53,2021,2,KAURU,50,117,0,0,0,0,0,167,50
54,2021,3,KAURU,61,138,0,0,0,0,0,199,61
55,2021,4,KAURU,61,224,0,0,0,0,0,285,61
56,2021,1,KUBAU,36,0,0,0,3,0,0,39,36
57,2021,2,KUBAU,38,3,0,0,2,0,0,43,38
58,2021,3,KUBAU,34,7,0,0,1,0,0,42,34
59,2021,4,KUBAU,54,6,0,0,2,0,0,62,54
60,2021,1,KUDAN,17,0,0,0,3,0,1,21,17
61,2021,2,KUDAN,19,0,0,0,4,0,0,23,19
62,2021,3,KUDAN,23,5,0,0,4,0,0,32,23
63,2021,4,KUDAN,29,4,0,0,3,0,0,36,29
64,2021,1,LERE,37,0,0,0,12,0,0,49,42
65,2021,2,LERE,49,0,0,0,8,0,0,57,49
66,2021,3,LERE,30,2,0,0,12,0,0,44,31
67,2021,4,LERE,52,2,0,0,4,0,0,58,52
68,2021,1,MARKARFI,33,3,0,0,22,0,0,58,33
69,2021,2,MARKARFI,34,5,0,0,20,1,0,60,38
70,2021,3,MARKARFI,44,0,0,0,26,0,0,70,44
71,2021,4,MARKARFI,55,5,0,0,31,0,0,91,56
72,2021,1,SABON GARI,41,14,0,0,11,0,0,66,41
73,2021,2,SABON GARI,53,7,0,0,22,0,0,82,53
74,2021,3,SABON GARI,85,4,0,0,18,0,0,107,85
75,2021,4,SABON GARI,77,19,0,0,23,0,0,119,77
76,2021,1,SANGA,7,15,0,0,5,0,1,28,7
77,2021,2,SANGA,1,20,0,0,4,0,0,25,1
78,2021,3,SANGA,7,11,0,0,4,0,0,22,7
79,2021,4,SANGA,4,1,0,0,15,0,0,20,4
80,2021,1,SOBA,27,15,0,0,1,0,0,43,27
81,2021,2,SOBA,46,6,0,0,2,0,1,55,46
82,2021,3,SOBA,35,9,0,0,10,0,0,54,37
83,2021,4,SOBA,35,7,0,0,3,0,0,45,35
84,2021,1,ZANGON KATAF,32,13,0,0,11,0,0,56,32
