Year,Quarter,LGA,PTB Xpert positive,PTB Smear positive,PTB TB Lamp,PTB LF-LAM,PTB x-ray and otherws,EPTB Xpert positive,EPTB x-ray and others
2023,1,Birin gwari,0,0,64,0,0,60,0
2023,2,Birin gwari,48,0,21,0,0,71,0
2023,3,Birin gwari,0,0,0,0,0,0,0
2023,4,Birin gwari,0,0,0,0,0,0,0
2023,1,Chikun,292,0,20,3,0,26,2
2023,2,Chikun,385,0,52,8,0,47,0
2023,3,Chikun,0,0,0,0,0,0,0
2023,4,Chikun,0,0,0,0,0,0,0
2023,1,Giwa,273,0,259,1,0,30,0
2023,2,Giwa,347,0,147,0,0,7,0
2023,3,Giwa,0,0,0,0,0,0,0
2023,4,Giwa,0,0,0,0,0,0,0
2023,1,Igabi,173,2,27,0,0,52,0
2023,2,Igabi,203,10,8,0,0,42,0
2023,3,Igabi,0,0,0,0,0,0,0
2023,4,Igabi,0,0,0,0,0,0,0
2023,1,Ikara,42,0,0,0,0,16,0
2023,2,Ikara,92,0,10,2,0,36,0
2023,3,Ikara,0,0,0,0,0,0,0
2023,4,Ikara,0,0,0,0,0,0,0
2023,1,Jaba,49,0,32,2,0,10,0
2023,2,Jaba,54,0,41,0,0,11,0
2023,3,Jaba,0,0,0,0,0,0,0
2023,4,Jaba,0,0,0,0,0,0,0
2023,1,Jemaaa,234,0,68,1,0,36,0
2023,2,Jemaaa,158,0,44,11,0,44,0
2023,3,Jemaaa,0,0,0,0,0,0,0
2023,4,Jemaaa,0,0,0,0,0,0,0
2023,1,Kachia,229,0,239,0,0,29,0
2023,2,Kachia,196,0,258,0,0,12,0
2023,3,Kachia,0,0,0,0,0,0,0
2023,4,Kachia,0,0,0,0,0,0,0
2023,1,Kaduna north,440,0,171,0,0,204,0
2023,2,Kaduna north,671,0,0,5,0,315,0
2023,3,Kaduna north,0,0,0,0,0,0,0
2023,4,Kaduna north,0,0,0,0,0,0,0
2023,1,Kaduna south,512,0,2,6,0,57,0
2023,2,Kaduna south,582,0,TRUE,32,0,71,0
2023,3,Kaduna south,0,0,0,0,0,0,0
2023,4,Kaduna south,0,0,0,0,0,0,0
2023,1,Kagarko,206,0,0,0,0,1,0
2023,2,Kagarko,277,0,0,0,0,0,0
2023,3,Kagarko,0,0,0,0,0,0,0
2023,4,Kagarko,0,0,0,0,0,0,0
2023,1,Kajuru,133,0,124,0,0,13,0
2023,2,Kajuru,138,0,120,0,0,16,0
2023,3,Kajuru,0,0,0,0,0,0,0
2023,4,Kajuru,0,0,0,0,0,0,0
2023,1,Kaura,32,0,40,0,0,18,0
2023,2,Kaura,62,0,30,0,0,19,1
2023,3,Kaura,0,0,0,0,0,0,0
2023,4,Kaura,0,0,0,0,0,0,0
2023,1,Kauru,176,0,225,0,0,224,0
2023,2,Kauru,187,0,229,0,0,144,0
2023,3,Kauru,0,0,0,0,0,0,0
2023,4,Kauru,0,0,0,0,0,0,0
2023,1,Kubau,82,0,18,0,0,10,0
2023,2,Kubau,118,0,27,0,0,13,0
2023,3,Kubau,0,0,0,0,0,0,0
2023,4,Kubau,0,0,0,0,0,0,0
2023,1,Kudan,46,0,4,0,0,10,0
2023,2,Kudan,62,0,0,0,0,10,0
2023,3,Kudan,0,0,0,0,0,0,0
2023,4,Kudan,0,0,0,0,0,0,0
2023,1,Lere,46,0,0,0,0,5,0
2023,2,Lere,39,0,0,2,0,20,0
2023,3,Lere,0,0,0,0,0,0,0
2023,4,Lere,0,0,0,0,0,0,0
2023,1,Makarfi,99,0,1,5,0,35,0
2023,2,Makarfi,137,0,0,2,0,34,0
2023,3,Makarfi,0,0,0,0,0,0,0
2023,4,Makarfi,0,0,0,0,0,0,0
2023,1,Sabon Gari,245,0,9,0,0,41,0
2023,2,Sabon Gari,243,0,21,0,0,49,0
2023,3,Sabon Gari,0,0,0,0,0,0,0
2023,4,Sabon Gari,0,0,0,0,0,0,0
2023,1,Sanga,50,0,21,3,0,10,0
2023,2,Sanga,33,0,2,3,0,10,0
2023,3,Sanga,0,0,0,0,0,0,0
2023,4,Sanga,0,0,0,0,0,0,0
2023,1,Soba,76,0,8,0,0,6,0
2023,2,Soba,62,0,17,0,0,15,0
2023,3,Soba,0,0,0,0,0,0,0
2023,4,Soba,0,0,0,0,0,0,0
2023,1,Zangon kataf,102,0,38,0,0,63,0
2023,2,Zangon kataf,106,0,48,0,0,64,0
2023,3,Zangon kataf,0,0,0,0,0,0,0
2023,4,Zangon kataf,0,0,0,0,0,0,0
2023,1,Zaria,519,0,109,0,0,139,0
2023,2,Zaria,454,0,172,5,0,174,0
2023,3,Zaria,0,0,0,0,0,0,0
2023,4,Zaria,0,0,0,0,0,0,0
