Year,Quarter,LGA,Sex,0-4,5-14,15–24,25–34,35–44,45–54,55–64,> 65,Total
2023,1,Birin Gwari,Male,0,5,10,15.0,5.0,6,15,11,67
2023,1,Birin Gwari,Female,0,1,2,14.0,8.0,10,9,13,57
2023,2,Birin Gwari,Male,1,3,3,6.0,12.0,16,11,4,56
2023,2,Birin Gwari,Female,0,5,7,12.0,17.0,21,14,8,84
2023,3,Birin Gwari,0,0,0,0,0.0,0.0,0,0,0,0
2023,3,Birin Gwari,0,0,0,0,0.0,0.0,0,0,0,0
2023,4,Birin Gwari,0,0,0,0,0.0,0.0,0,0,0,0
2023,4,Birin Gwari,0,0,0,0,0.0,0.0,0,0,0,0
2023,1,Chikun,Male,0,0,19,70.0,84.0,40,20,4,237
2023,1,Chikun,Female,2,0,25,32.0,33.0,5,6,3,106
2023,2,Chikun,Male,7,5,49,105.0,93.0,43,14,9,325
2023,2,Chikun,Female,3,4,29,53.0,41.0,22,7,9,168
2023,3,Chikun,0,0,0,0,0.0,0.0,0,0,0,0
2023,3,Chikun,0,0,0,0,0.0,0.0,0,0,0,0
2023,4,Chikun,0,0,0,0,0.0,0.0,0,0,0,0
2023,4,Chikun,0,0,0,0,0.0,0.0,0,0,0,0
2023,1,Giwa,Male,5,27,61,123.0,70.0,17,1,3,307
2023,1,Giwa,Female,3,34,84,83.0,40.0,9,3,0,256
2023,2,Giwa,Male,3,34,56,81.0,67.0,21,2,2,266
2023,2,Giwa,Female,5,30,80,75.0,43.0,11,1,2,247
2023,3,Giwa,0,0,0,0,0.0,0.0,0,0,0,0
2023,3,Giwa,0,0,0,0,0.0,0.0,0,0,0,0
2023,4,Giwa,0,0,0,0,0.0,0.0,0,0,0,0
2023,4,Giwa,0,0,0,0,0.0,0.0,0,0,0,0
2023,1,Igabi,Male,1,4,23,35.0,30.0,29,15,6,143
2023,1,Igabi,Female,0,0,27,34.0,27.0,10,13,0,111
2023,2,Igabi,Male,3,5,27,34.0,32.0,29,19,4,153
