Year,Quarter,LGA,Sex,0-4,5-14,15-24,25-34,35-44,45-54,55-64,>=65,Total,Year_Quarter,,
2019,1,Birnin-Gwari,Male,0,0,2,4,3,4,3,1,17,2019 Q1,,
2019,1,Birnin-Gwari,Female,0,0,0,3,1,0,4,0,8,2019 Q1,,
2019,1,Chikun,Male,0,0,5,14,18,4,3,5,49,2019 Q1,,
2019,1,Chikun,Female,0,0,3,12,4,7,0,0,26,2019 Q1,,
2019,1,Giwa,Male,6,3,3,0,2,0,2,2,18,2019 Q1,,
2019,1,Giwa,Female,2,2,4,4,5,3,0,0,20,2019 Q1,,
2019,1,Igabi,Male,0,2,8,9,8,10,2,1,40,2019 Q1,,
2019,1,Igabi,Female,0,3,12,8,3,3,0,1,30,2019 Q1,,
2019,1,Ikara,Male,0,0,1,4,4,0,1,1,11,2019 Q1,,
2019,1,Ikara,Female,0,0,0,1,1,0,0,0,2,2019 Q1,,
2019,1,Jaba,Male,0,0,0,2,5,3,4,1,15,2019 Q1,,
2019,1,Jaba,Female,0,0,1,1,2,0,1,0,5,2019 Q1,,
2019,1,Jema'a,Male,0,3,5,8,9,4,2,4,35,2019 Q1,,
2019,1,Jema'a,Female,0,0,4,6,2,3,1,,16,2019 Q1,,
2019,1,Kachia,Male,0,0,2,5,7,10,3,3,30,2019 Q1,,
2019,1,Kachia,Female,0,0,0,3,6,2,2,0,13,2019 Q1,,
2019,1,Kaduna North,Male,1,4,11,24,29,12,3,4,88,2019 Q1,,
2019,1,Kaduna North,Female,6,11,10,15,11,6,2,4,65,2019 Q1,,
2019,1,Kaduna South,Male,1,1,13,30,22,18,7,7,99,2019 Q1,,
2019,1,Kaduna South,Female,0,4,13,15,11,5,5,6,59,2019 Q1,,
2019,1,Kagarko,Male,0,0,3,2,4,0,1,1,11,2019 Q1,,
2019,1,Kagarko,Female,0,0,2,2,2,1,0,0,7,2019 Q1,,
2019,1,Kajuru,Male,0,0,2,1,0,0,0,2,5,2019 Q1,,
2019,1,Kajuru,Female,0,0,1,0,1,0,0,3,5,2019 Q1,,
2019,1,Kaura,Male,0,1,2,2,6,3,1,0,15,2019 Q1,,
2019,1,Kaura,Female,0,0,5,4,4,1,1,1,16,2019 Q1,,
2019,1,Kauru,Male,0,1,1,5,3,0,0,0,10,2019 Q1,,
