Unnamed: 0,Year,Quarter,LGA,Sex,0-4,5-14,15-24,25-34,35-44,45-54,55-64,>=65,Total
0,2022,1,BIRIN GWARI,Male,0.0,0.0,7.0,16,18,11,11.0,15.0,78
1,2022,1,BIRIN GWARI,Female,0.0,0.0,2.0,14,8,9,6.0,3.0,42
2,2022,2,BIRIN GWARI,Male,0.0,0.0,3.0,13,3,10,22.0,14.0,65
3,2022,2,BIRIN GWARI,Female,0.0,0.0,1.0,6,7,16,8.0,6.0,44
4,2022,3,BIRIN GWARI,Male,0.0,0.0,5.0,8,6,8,8.0,15.0,50
5,2022,3,BIRIN GWARI,Female,0.0,1.0,3.0,7,7,11,9.0,15.0,53
6,2022,4,BIRIN GWARI,Male,2.0,2.0,12.0,7,8,13,10.0,14.0,68
7,2022,4,BIRIN GWARI,Female,1.0,5.0,4.0,14,14,13,15.0,12.0,78
8,2022,1,CHIKUN,Male,0.0,0.0,12.0,25,95,32,30.0,0.0,194
9,2022,1,CHIKUN,Female,1.0,1.0,6.0,18,63,29,7.0,0.0,125
10,2022,2,CHIKUN,Male,0.0,0.0,25.0,43,48,27,15.0,3.0,161
11,2022,2,CHIKUN,Female,1.0,3.0,23.0,19,21,7,5.0,3.0,82
12,2022,3,CHIKUN,Male,2.0,3.0,27.0,75,75,39,24.0,9.0,254
13,2022,3,CHIKUN,Female,2.0,3.0,18.0,35,38,17,6.0,3.0,122
14,2022,4,CHIKUN,Male,1.0,5.0,29.0,95,94,52,11.0,5.0,292
15,2022,4,CHIKUN,Female,1.0,4.0,20.0,54,52,23,8.0,3.0,165
16,2022,1,GIWA,Male,5.0,9.0,82.0,144,34,6,2.0,2.0,284
17,2022,1,GIWA,Female,3.0,2.0,98.0,110,21,3,1.0,1.0,239
18,2022,2,GIWA,Male,15.0,7.0,74.0,133,9,3,1.0,0.0,242
19,2022,2,GIWA,Female,4.0,5.0,65.0,87,7,5,1.0,0.0,174
20,2022,3,GIWA,Male,28.0,25.0,71.0,88,47,24,7.0,6.0,296
21,2022,3,GIWA,Female,43.0,23.0,55.0,105,38,9,2.0,1.0,276
22,2022,4,GIWA,Male,14.0,73.0,78.0,80,40,12,2.0,0.0,299
23,2022,4,GIWA,Female,8.0,73.0,87.0,77,29,4,0.0,0.0,278
24,2022,1,IGABI,Male,1.0,10.0,21.0,23,18,8,5.0,8.0,94
25,2022,1,IGABI,Female,0.0,6.0,16.0,13,8,5,3.0,3.0,54
26,2022,2,IGABI,Male,0.0,4.0,16.0,32,18,12,7.0,1.0,90
